iter	Passed	Remaining
0	25	4226
1	53	4419
2	83	4547
3	103	4212
4	122	3984
5	153	4124
6	184	4207
7	215	4279
8	246	4324
9	271	4265
10	301	4275
11	333	4306
12	358	4244
13	369	4042
14	385	3909
15	409	3862
16	437	3863
17	457	3789
18	487	3799
19	516	3794
20	540	3761
21	572	3775
22	600	3762
23	629	3753
24	658	3739
25	689	3741
26	718	3726
27	725	3602
28	753	3586
29	775	3540
30	801	3515
31	817	3447
32	835	3393
33	864	3379
34	893	3368
35	904	3291
36	932	3275
37	943	3203
38	974	3198
39	982	3118
40	1012	3112
41	1028	3060
42	1038	2996
43	1062	2971
44	1069	2899
45	1097	2886
46	1117	2852
47	1145	2839
48	1175	2830
49	1187	2777
50	1219	2774
51	1245	2754
52	1275	2744
53	1305	2732
54	1316	2681
55	1344	2665
56	1385	2673
57	1401	2633
58	1428	2614
59	1443	2574
60	1455	2528
61	1483	2512
62	1512	2496
63	1540	2479
64	1565	2456
65	1602	2451
66	1614	2409
67	1643	2392
68	1671	2374
69	1700	2356
70	1729	2338
71	1741	2297
72	1764	2271
73	1791	2252
74	1812	2222
75	1838	2201
76	1868	2183
77	1897	2164
78	1907	2125
79	1935	2104
80	1963	2085
81	1991	2064
82	2011	2036
83	2026	2002
84	2050	1978
85	2078	1957
86	2107	1937
87	2135	1916
88	2168	1900
89	2194	1877
90	2226	1859
91	2256	1839
92	2277	1812
93	2306	1791
94	2320	1758
95	2352	1739
96	2380	1718
97	2408	1696
98	2431	1670
99	2443	1637
100	2472	1615
101	2492	1588
102	2499	1552
103	2539	1538
104	2569	1517
105	2597	1494
106	2631	1475
107	2660	1453
108	2689	1430
109	2719	1409
110	2731	1377
111	2758	1354
112	2778	1327
113	2807	1305
114	2835	1281
115	2862	1258
116	2891	1235
117	2919	1212
118	2946	1188
119	2975	1165
120	2987	1135
121	3014	1111
122	3042	1088
123	3070	1064
124	3094	1039
125	3121	1015
126	3132	986
127	3156	961
128	3184	938
129	3200	910
130	3228	887
131	3259	864
132	3288	840
133	3303	813
134	3318	786
135	3346	762
136	3375	739
137	3386	711
138	3413	687
139	3441	663
140	3453	636
141	3487	614
142	3514	589
143	3543	565
144	3572	541
145	3616	520
146	3655	497
147	3679	472
148	3708	447
149	3738	423
150	3766	399
151	3795	374
152	3822	349
153	3850	325
154	3869	299
155	3897	274
156	3934	250
157	3962	225
158	3992	200
159	4019	175
160	4043	150
161	4073	125
162	4101	100
163	4127	75
164	4157	50
165	4187	25
166	4214	0
