iter	Logloss
0	0.6736200451
1	0.6526439897
2	0.6337751051
3	0.6202084908
4	0.6111342642
5	0.5948271617
6	0.5843600709
7	0.5712184033
8	0.5542437174
9	0.5410689985
10	0.5314285761
11	0.5261187198
12	0.519361333
13	0.5153165659
14	0.5127859511
15	0.5039177881
16	0.4953339827
17	0.4937762891
18	0.4883560539
19	0.481546834
20	0.4800131529
21	0.4697232999
22	0.4645374773
23	0.4605358648
24	0.4554775788
25	0.4469977861
26	0.4438489795
27	0.4436781305
28	0.4389224523
29	0.4355962138
30	0.4308343506
31	0.4282205529
32	0.4251305409
33	0.4209540069
34	0.4171472726
35	0.4161350857
36	0.4140952624
37	0.4131727693
38	0.4090979901
39	0.4090352808
40	0.4075067121
41	0.4073493534
42	0.4066026559
43	0.4035499536
44	0.4035099327
45	0.4004093216
46	0.3979805878
47	0.3918445377
48	0.3889955077
49	0.388547249
50	0.3874033163
51	0.384320919
52	0.3806971506
53	0.3786870408
54	0.3783134246
55	0.3757297712
56	0.3732459548
57	0.372398928
58	0.3691943284
59	0.368357333
60	0.3679504944
61	0.3674899681
62	0.3656268405
63	0.3641711968
64	0.3622528152
65	0.3608833476
66	0.3606751723
67	0.3586561343
68	0.3564188565
69	0.3534462015
70	0.3522797342
71	0.3522489347
72	0.3496773236
73	0.3474217404
74	0.3465855775
75	0.3444514319
76	0.3419616612
77	0.3397352046
78	0.339594788
79	0.3369617935
80	0.3356606402
81	0.3330238127
82	0.3324053741
83	0.3318220046
84	0.3313705799
85	0.328118259
86	0.325515153
87	0.3246570392
88	0.322569011
89	0.3216752469
90	0.3206224864
91	0.3153837994
92	0.3147426841
93	0.3132851798
94	0.3127574681
95	0.3117957758
96	0.3113715076
97	0.3087518782
98	0.3079960618
99	0.3079956727
100	0.3066984972
101	0.3058569551
102	0.305856535
103	0.3035763712
104	0.3017740884
105	0.3000733218
106	0.2970619548
107	0.2964183512
108	0.2953227532
109	0.2945791423
110	0.2945726575
111	0.2917867192
112	0.290476679
113	0.2872475575
114	0.2857341751
115	0.2836066485
116	0.2822725461
117	0.2816238707
118	0.278742467
119	0.2763103323
120	0.2762643633
121	0.27499302
122	0.273567537
123	0.2726975334
124	0.2720902668
125	0.2710785431
126	0.2710408881
127	0.2699769864
128	0.2685282052
129	0.2684166254
130	0.2671293888
131	0.2665104611
132	0.2651006548
133	0.2648648568
134	0.264752507
135	0.2626221645
136	0.2613331011
137	0.2612605745
138	0.2607648461
139	0.2568091703
140	0.256676655
141	0.2560953451
142	0.2548760612
143	0.2546243511
144	0.2537152938
145	0.2525887167
146	0.2524008356
147	0.2521663035
148	0.2511371073
149	0.2507254731
150	0.2492765096
151	0.2489961094
152	0.2487495436
153	0.2474444131
154	0.2473144372
155	0.2438497412
156	0.2413735857
157	0.2408964982
158	0.239881179
159	0.2389945333
160	0.238838022
161	0.2379781596
162	0.2377192178
163	0.2366915573
164	0.2343716361
165	0.2331699879
166	0.232220052
