iter	Logloss
0	0.6694293957
1	0.6483044651
2	0.6232729181
3	0.6069413051
4	0.5923828507
5	0.5841931267
6	0.5691377982
7	0.5665381555
8	0.5578178307
9	0.5499584085
10	0.5425555399
11	0.5347865851
12	0.5298213131
13	0.5195573436
14	0.5126850631
15	0.5043559918
16	0.4953651417
17	0.4903797795
18	0.4821366734
19	0.4738828454
20	0.4655575611
21	0.4580925919
22	0.4528342422
23	0.4481596262
24	0.445498432
25	0.444632647
26	0.442355068
27	0.4377736471
28	0.4316455675
29	0.4261258492
30	0.4199737094
31	0.4145786496
32	0.411347743
33	0.4053611351
34	0.3992966015
35	0.3959109021
36	0.3896568528
37	0.382477455
38	0.3773605003
39	0.3761125053
40	0.3723060207
41	0.3717728271
42	0.3701978137
43	0.3649488541
44	0.3649056548
45	0.3626413419
46	0.3583578716
47	0.3551944717
48	0.3549313374
49	0.3531339268
50	0.3527894841
51	0.3510214714
52	0.3488187155
53	0.3470806781
54	0.3468271649
55	0.3424945696
56	0.3379254542
57	0.3367030372
58	0.3363089548
59	0.3343601043
60	0.3290594751
61	0.3252237439
62	0.3252207587
63	0.3235497531
64	0.3201066358
65	0.319697829
66	0.3165122612
67	0.3165102587
68	0.3120242389
69	0.3117329295
70	0.3097699514
71	0.3085429307
72	0.308409662
73	0.3064981069
74	0.3063734639
75	0.3059968505
76	0.3047369996
77	0.3031849693
78	0.302970662
79	0.3020892286
80	0.3014056072
81	0.2998298768
82	0.298527419
83	0.2967947251
84	0.2928324038
85	0.2923203968
86	0.2921384239
87	0.2907435098
88	0.2864923835
89	0.284724989
90	0.2811084829
91	0.2788918986
92	0.276092154
93	0.2760913145
94	0.2760603863
95	0.275550629
96	0.2739254728
97	0.2737298316
98	0.2735600197
99	0.2731433471
100	0.2712565986
101	0.2690949403
102	0.2655246191
103	0.2623028777
104	0.2622730525
105	0.2603241119
106	0.259941531
107	0.2587718732
108	0.2559936881
109	0.2537873273
110	0.2517900328
111	0.2505151566
112	0.2503095178
113	0.2493049084
114	0.2486617805
115	0.2481874102
116	0.2477895633
117	0.246343145
118	0.2441452072
119	0.2439030811
120	0.2433514487
121	0.2415332292
122	0.2405350657
123	0.2402077398
124	0.236873325
125	0.2325938452
126	0.2318960034
127	0.23086138
128	0.2288215197
129	0.2283107975
130	0.2272477804
131	0.2252807318
132	0.2251558674
133	0.2209193465
134	0.2208576407
135	0.2181889562
136	0.2180912824
137	0.2174802931
138	0.2138859108
139	0.2136256523
140	0.2119945918
141	0.2115110501
142	0.2105269061
143	0.2092370141
144	0.2081633492
145	0.2074954155
146	0.2073262702
147	0.2062470054
148	0.206089224
149	0.2039321085
150	0.202768357
151	0.2022303852
152	0.2010681438
153	0.1985109871
154	0.1973548702
155	0.1959657529
156	0.1952138231
157	0.1935989812
158	0.1929712567
159	0.1928472425
160	0.1915885315
161	0.1911569944
162	0.190525365
163	0.1904698205
164	0.1903789338
165	0.1893103707
166	0.1891989319
