iter	Passed	Remaining
0	30	4997
1	58	4827
2	87	4805
3	103	4210
4	132	4284
5	143	3862
6	177	4050
7	189	3763
8	212	3736
9	230	3623
10	260	3694
11	284	3673
12	296	3514
13	329	3606
14	360	3651
15	388	3665
16	412	3642
17	436	3616
18	464	3621
19	495	3639
20	523	3637
21	551	3638
22	577	3613
23	605	3610
24	621	3529
25	640	3474
26	661	3428
27	691	3434
28	720	3430
29	749	3422
30	778	3416
31	808	3411
32	837	3401
33	861	3371
34	890	3359
35	914	3326
36	942	3312
37	976	3314
38	1013	3327
39	1029	3267
40	1053	3236
41	1068	3179
42	1095	3159
43	1124	3144
44	1140	3093
45	1168	3074
46	1201	3068
47	1233	3058
48	1249	3008
49	1274	2981
50	1286	2925
51	1314	2906
52	1342	2887
53	1370	2867
54	1381	2813
55	1410	2796
56	1438	2776
57	1468	2760
58	1480	2710
59	1510	2693
60	1539	2675
61	1567	2654
62	1574	2598
63	1602	2578
64	1630	2558
65	1650	2525
66	1679	2506
67	1686	2455
68	1725	2450
69	1741	2412
70	1769	2392
71	1797	2371
72	1809	2329
73	1836	2308
74	1857	2278
75	1878	2248
76	1912	2235
77	1950	2225
78	1971	2196
79	2001	2176
80	2037	2163
81	2067	2143
82	2096	2121
83	2123	2098
84	2152	2076
85	2181	2054
86	2198	2021
87	2227	1999
88	2256	1977
89	2286	1956
90	2317	1935
91	2345	1912
92	2374	1889
93	2382	1850
94	2393	1814
95	2423	1792
96	2457	1773
97	2479	1746
98	2499	1716
99	2525	1692
100	2558	1672
101	2595	1653
102	2636	1638
103	2677	1621
104	2699	1594
105	2728	1570
106	2759	1547
107	2789	1523
108	2817	1499
109	2846	1475
110	2875	1450
111	2903	1425
112	2934	1402
113	2963	1377
114	2997	1355
115	3031	1332
116	3052	1304
117	3080	1279
118	3109	1254
119	3130	1225
120	3158	1200
121	3185	1175
122	3214	1149
123	3242	1124
124	3270	1099
125	3299	1073
126	3323	1046
127	3352	1021
128	3380	995
129	3408	970
130	3436	944
131	3466	919
132	3490	892
133	3519	866
134	3539	838
135	3567	813
136	3578	783
137	3606	757
138	3634	732
139	3654	704
140	3684	679
141	3713	653
142	3744	628
143	3774	602
144	3803	577
145	3831	551
146	3846	523
147	3873	497
148	3893	470
149	3938	446
150	3966	420
151	3995	394
152	4031	368
153	4062	342
154	4093	316
155	4122	290
156	4151	264
157	4180	238
158	4209	211
159	4234	185
160	4264	158
161	4284	132
162	4316	105
163	4345	79
164	4365	52
165	4392	26
166	4423	0
