iter	Logloss
0	0.671236208
1	0.6521957742
2	0.6373380088
3	0.6275846495
4	0.6069807591
5	0.594198366
6	0.5880844593
7	0.5744994275
8	0.5606031049
9	0.5489531989
10	0.5454839557
11	0.5389308438
12	0.5345508676
13	0.527733046
14	0.5171353694
15	0.5128479485
16	0.5022976299
17	0.4950913089
18	0.4880150124
19	0.4782912525
20	0.4757061712
21	0.4684252693
22	0.4673029831
23	0.4650877821
24	0.4648643548
25	0.4603826756
26	0.4588437371
27	0.4567253592
28	0.4532187941
29	0.4495303344
30	0.4437677805
31	0.4408308047
32	0.4340088279
33	0.4281592235
34	0.4247433967
35	0.4241364349
36	0.4236522513
37	0.419420201
38	0.4122588035
39	0.4113075863
40	0.4062542052
41	0.3991363237
42	0.3924509689
43	0.3892277238
44	0.3864750418
45	0.3839749149
46	0.3806819672
47	0.3777401758
48	0.3768939692
49	0.3753384946
50	0.3711695654
51	0.3672831534
52	0.3646943067
53	0.3624546774
54	0.3597065083
55	0.3592442347
56	0.3587298752
57	0.3564299312
58	0.3508191988
59	0.3459437318
60	0.3458121877
61	0.3392532573
62	0.3360503787
63	0.3315387136
64	0.3298342924
65	0.3276664407
66	0.3243938085
67	0.3218510124
68	0.3195193539
69	0.3170458074
70	0.3151940909
71	0.3135943282
72	0.3118794228
73	0.3105652027
74	0.3069944008
75	0.3041352279
76	0.3024968036
77	0.299939882
78	0.2986331573
79	0.2975423113
80	0.2967970462
81	0.2948510636
82	0.2935290228
83	0.2914579114
84	0.2903516842
85	0.2889185877
86	0.2871108836
87	0.2870051926
88	0.2854437303
89	0.2851822557
90	0.2846571879
91	0.2837843888
92	0.2821074555
93	0.280969325
94	0.277792101
95	0.2761851539
96	0.2736281677
97	0.2729488884
98	0.2729387968
99	0.2726019523
100	0.2697550673
101	0.2683498624
102	0.2678128927
103	0.264569086
104	0.2634523018
105	0.26345177
106	0.2628360808
107	0.2607425151
108	0.2563606904
109	0.2559883107
110	0.2554496554
111	0.2540206651
112	0.2526553636
113	0.2501095181
114	0.2488637164
115	0.2487938504
116	0.2487188064
117	0.2457310298
118	0.2432468102
119	0.2424350135
120	0.2423145476
121	0.2413577729
122	0.240117467
123	0.2394156399
124	0.2381458607
125	0.2378345443
126	0.2370378814
127	0.2365738506
128	0.2364646482
129	0.2364500164
130	0.2349739038
131	0.2344006414
132	0.2329843651
133	0.2307262551
134	0.2299155449
135	0.2294367149
136	0.2293926352
137	0.2283384558
138	0.2273826287
139	0.2264584588
140	0.2253970127
141	0.2249245437
142	0.2238168075
143	0.2232136504
144	0.2212200265
145	0.2202531372
146	0.2195180454
147	0.2181979026
148	0.2162883384
149	0.2162288656
150	0.21451738
151	0.2143146496
152	0.2108899463
153	0.2098881994
154	0.2094273084
155	0.208029459
156	0.207814537
157	0.2076130811
158	0.2075885623
159	0.2057316595
160	0.2055989082
161	0.2041070971
162	0.2037895613
163	0.2034982886
164	0.2026647326
165	0.2013481329
166	0.1995524994
