iter	Logloss
0	0.6788393854
1	0.6683230305
2	0.6427185377
3	0.6207305564
4	0.6193361296
5	0.6026071766
6	0.5858587983
7	0.5710693823
8	0.5653576512
9	0.5518944798
10	0.5342322335
11	0.5223252166
12	0.5095821957
13	0.5042051613
14	0.4961345516
15	0.4866477191
16	0.4773260496
17	0.4718478704
18	0.4633493178
19	0.4551981747
20	0.4496645933
21	0.4404655896
22	0.43456455
23	0.4279815267
24	0.4265112067
25	0.4185623364
26	0.416623333
27	0.4110656172
28	0.4058487044
29	0.4001033534
30	0.3978509323
31	0.3939019532
32	0.3916950533
33	0.3853364998
34	0.3835741565
35	0.380004888
36	0.377112669
37	0.3735162526
38	0.3732316213
39	0.369780087
40	0.3681409119
41	0.3674295462
42	0.3672552599
43	0.3658900599
44	0.3646416419
45	0.3620271373
46	0.3619671542
47	0.3619118351
48	0.361767406
49	0.3613182891
50	0.3586449431
51	0.3537838596
52	0.3537493516
53	0.3508736804
54	0.348022546
55	0.344722193
56	0.3446079884
57	0.3440630377
58	0.3437972596
59	0.3437193367
60	0.3423266979
61	0.3403999803
62	0.3376626522
63	0.3343306489
64	0.3302011004
65	0.3294975005
66	0.3272799579
67	0.3231887416
68	0.3199856596
69	0.3160623841
70	0.3128150311
71	0.3118047219
72	0.311647926
73	0.3097946894
74	0.3081952263
75	0.3076504497
76	0.3064434499
77	0.3049467493
78	0.3015616071
79	0.3013154646
80	0.2999799855
81	0.2995769371
82	0.2978272172
83	0.2953951874
84	0.29510497
85	0.2926157767
86	0.2918301915
87	0.2912210834
88	0.2896089451
89	0.2896089417
90	0.2885170074
91	0.2871943956
92	0.2871569982
93	0.2851570436
94	0.2825099755
95	0.2821649877
96	0.2793505617
97	0.2791722369
98	0.2778240465
99	0.2778152805
100	0.2772070554
101	0.2770886833
102	0.2751804928
103	0.2745002705
104	0.2744897415
105	0.2730046223
106	0.2713078275
107	0.2711027519
108	0.2707462067
109	0.2687084556
110	0.2679035549
111	0.2678779606
112	0.2673905576
113	0.2667904957
114	0.2666588238
115	0.2636511748
116	0.2621805744
117	0.2618930502
118	0.2600959805
119	0.2593741748
120	0.2579863903
121	0.2566568612
122	0.2565513169
123	0.2565510583
124	0.255148309
125	0.2549627873
126	0.2546953251
127	0.2530821642
128	0.2528953619
129	0.2519757855
130	0.2509059822
131	0.2496495566
132	0.248845862
133	0.2484187062
134	0.2462839783
135	0.2459037004
136	0.2456786304
137	0.2456118926
138	0.2445645988
139	0.2424304845
140	0.241450739
141	0.2399299147
142	0.2397904587
143	0.2391510368
144	0.2379386811
145	0.2365684669
146	0.2364477862
147	0.2355438481
148	0.234164302
149	0.2334915132
150	0.2333420927
151	0.2324425542
152	0.2321991794
153	0.2321103961
154	0.2314794433
155	0.2314171375
156	0.2310506938
157	0.2308789338
158	0.2302358306
159	0.2298930958
160	0.2295802006
161	0.229319923
162	0.2276320195
163	0.2271659444
164	0.2267906388
165	0.22587449
166	0.2253235607
