iter	Passed	Remaining
0	19	3289
1	32	2692
2	64	3526
3	92	3776
4	98	3204
5	118	3182
6	145	3321
7	174	3461
8	186	3273
9	216	3393
10	245	3483
11	272	3525
12	299	3553
13	319	3490
14	339	3441
15	367	3470
16	394	3485
17	422	3501
18	454	3537
19	484	3559
20	511	3555
21	539	3552
22	569	3563
23	599	3573
24	612	3476
25	640	3476
26	664	3446
27	692	3435
28	720	3429
29	748	3419
30	777	3412
31	800	3376
32	829	3367
33	857	3354
34	885	3339
35	914	3326
36	943	3314
37	971	3299
38	984	3229
39	1011	3212
40	1042	3203
41	1072	3190
42	1087	3136
43	1108	3098
44	1128	3059
45	1157	3043
46	1168	2984
47	1180	2925
48	1199	2887
49	1215	2844
50	1245	2832
51	1274	2817
52	1284	2763
53	1322	2767
54	1361	2772
55	1396	2767
56	1412	2726
57	1435	2698
58	1466	2684
59	1481	2642
60	1505	2615
61	1526	2584
62	1553	2563
63	1580	2544
64	1608	2524
65	1636	2504
66	1664	2483
67	1694	2466
68	1722	2446
69	1750	2426
70	1779	2405
71	1801	2377
72	1812	2334
73	1839	2312
74	1868	2291
75	1885	2258
76	1915	2238
77	1944	2218
78	1971	2196
79	1983	2157
80	2021	2145
81	2036	2110
82	2071	2096
83	2108	2083
84	2136	2060
85	2164	2038
86	2191	2015
87	2220	1993
88	2248	1970
89	2259	1932
90	2277	1902
91	2305	1879
92	2316	1843
93	2344	1820
94	2373	1798
95	2396	1772
96	2424	1749
97	2447	1723
98	2476	1701
99	2491	1669
100	2515	1643
101	2530	1612
102	2586	1607
103	2611	1581
104	2622	1548
105	2654	1527
106	2694	1511
107	2730	1491
108	2755	1465
109	2781	1441
110	2808	1416
111	2826	1388
112	2855	1364
113	2882	1339
114	2897	1310
115	2936	1291
116	2965	1267
117	2989	1241
118	3017	1217
119	3049	1194
120	3079	1170
121	3118	1150
122	3138	1122
123	3149	1092
124	3175	1067
125	3203	1042
126	3223	1015
127	3251	990
128	3267	962
129	3295	937
130	3322	913
131	3350	888
132	3378	863
133	3407	839
134	3452	818
135	3471	791
136	3495	765
137	3507	737
138	3535	712
139	3566	687
140	3594	662
141	3623	637
142	3638	610
143	3666	585
144	3694	560
145	3722	535
146	3738	508
147	3766	483
148	3793	458
149	3821	433
150	3836	406
151	3864	381
152	3891	356
153	3919	330
154	3947	305
155	3966	279
156	3993	254
157	4021	229
158	4048	203
159	4076	178
160	4103	152
161	4142	127
162	4168	102
163	4196	76
164	4224	51
165	4251	25
166	4278	0
