iter	Passed	Remaining
0	39	6639
1	75	6240
2	107	5870
3	123	5047
4	135	4384
5	168	4508
6	184	4227
7	217	4331
8	253	4452
9	286	4493
10	309	4384
11	323	4183
12	356	4228
13	390	4268
14	431	4368
15	464	4387
16	484	4276
17	510	4228
18	542	4222
19	571	4203
20	603	4194
21	615	4059
22	655	4101
23	684	4078
24	718	4078
25	750	4072
26	772	4006
27	803	3986
28	825	3928
29	855	3907
30	886	3890
31	903	3813
32	916	3721
33	937	3667
34	956	3605
35	977	3557
36	1012	3556
37	1047	3557
38	1082	3552
39	1116	3545
40	1138	3498
41	1146	3412
42	1181	3406
43	1218	3407
44	1253	3398
45	1262	3321
46	1297	3311
47	1330	3298
48	1364	3285
49	1397	3269
50	1430	3254
51	1461	3231
52	1494	3214
53	1512	3164
54	1541	3138
55	1559	3091
56	1593	3075
57	1632	3068
58	1680	3075
59	1717	3063
60	1759	3057
61	1807	3061
62	1843	3042
63	1879	3025
64	1893	2971
65	1925	2946
66	1958	2922
67	1996	2906
68	2030	2883
69	2063	2859
70	2076	2807
71	2104	2776
72	2131	2744
73	2159	2713
74	2186	2682
75	2215	2652
76	2244	2623
77	2271	2591
78	2291	2553
79	2321	2524
80	2331	2475
81	2359	2445
82	2389	2418
83	2419	2391
84	2449	2362
85	2479	2335
86	2495	2294
87	2515	2257
88	2546	2231
89	2577	2205
90	2608	2178
91	2620	2136
92	2650	2108
93	2677	2078
94	2698	2045
95	2725	2015
96	2755	1988
97	2787	1962
98	2824	1940
99	2854	1912
100	2886	1886
101	2917	1858
102	2946	1830
103	2975	1802
104	3004	1774
105	3015	1735
106	3043	1706
107	3072	1678
108	3107	1653
109	3151	1632
110	3189	1608
111	3227	1585
112	3266	1561
113	3305	1536
114	3327	1504
115	3360	1477
116	3398	1452
117	3422	1421
118	3458	1395
119	3492	1367
120	3543	1346
121	3576	1319
122	3610	1291
123	3642	1263
124	3675	1234
125	3690	1200
126	3718	1171
127	3751	1143
128	3809	1122
129	3852	1096
130	3887	1068
131	3930	1042
132	3965	1013
133	4000	985
134	4032	955
135	4067	927
136	4100	898
137	4117	865
138	4148	835
139	4182	806
140	4210	776
141	4238	746
142	4269	716
143	4299	686
144	4328	656
145	4357	626
146	4386	596
147	4414	566
148	4445	536
149	4473	506
150	4501	477
151	4530	447
152	4558	417
153	4585	387
154	4613	357
155	4641	327
156	4671	297
157	4702	267
158	4732	238
159	4773	208
160	4808	179
161	4843	149
162	4872	119
163	4901	89
164	4930	59
165	4958	29
166	4987	0
