iter	Logloss
0	0.663485768
1	0.6364066438
2	0.612956001
3	0.5990968614
4	0.5867007055
5	0.5669422301
6	0.5507620137
7	0.5346520189
8	0.5188219221
9	0.5056986755
10	0.4934798883
11	0.4873433285
12	0.4798385626
13	0.4671044375
14	0.4569013892
15	0.4441289686
16	0.4353572548
17	0.4275638431
18	0.4197875359
19	0.4112548998
20	0.4037294113
21	0.4024767225
22	0.3940702746
23	0.3864322445
24	0.3799292716
25	0.3768174898
26	0.3733087926
27	0.3694493901
28	0.3651260794
29	0.3549319199
30	0.3509025506
31	0.3494951762
32	0.3487953026
33	0.345722707
34	0.3440158643
35	0.3412416708
36	0.336735549
37	0.3338580696
38	0.3320223686
39	0.32629309
40	0.3251479832
41	0.3251140129
42	0.3207684522
43	0.3168092792
44	0.3119604735
45	0.311942889
46	0.3082143489
47	0.3059763095
48	0.3033705326
49	0.3015947914
50	0.2980415853
51	0.2954560434
52	0.2922998251
53	0.2921911131
54	0.2909507608
55	0.2904836
56	0.2888514577
57	0.2863612673
58	0.2833066055
59	0.2819265885
60	0.2809946961
61	0.2805764871
62	0.2772810291
63	0.2754680519
64	0.2754242836
65	0.2747443941
66	0.2733189339
67	0.2691035631
68	0.2654466361
69	0.2640895645
70	0.2637372697
71	0.2623418987
72	0.2605470546
73	0.2583852931
74	0.2579941047
75	0.2571561386
76	0.2555504594
77	0.2545522426
78	0.254169163
79	0.2516591121
80	0.2514354985
81	0.2499334257
82	0.2486318249
83	0.2470536879
84	0.2439732074
85	0.2423951374
86	0.2422850826
87	0.242191821
88	0.2402274872
89	0.2392064013
90	0.2378903011
91	0.2372472706
92	0.2360550658
93	0.2354469024
94	0.2343177815
95	0.2330416315
96	0.231863869
97	0.2313395306
98	0.2312069386
99	0.2304873437
100	0.2294987735
101	0.2277099002
102	0.2268821481
103	0.2262828648
104	0.2250916608
105	0.2250788034
106	0.2245665514
107	0.2235775053
108	0.2219319558
109	0.2208849834
110	0.2198222461
111	0.2188576371
112	0.218065625
113	0.216007636
114	0.2159391783
115	0.2128662456
116	0.2116468816
117	0.2114794895
118	0.2102203499
119	0.2091542452
120	0.2079769238
121	0.2065808085
122	0.2058896948
123	0.2055166186
124	0.2033641649
125	0.2032074041
126	0.2024120303
127	0.2014819565
128	0.200354908
129	0.1994174418
130	0.1991331544
131	0.1972773076
132	0.1961605837
133	0.1933824138
134	0.1919366169
135	0.19080732
136	0.1902881266
137	0.1901689926
138	0.1891554691
139	0.1876523506
140	0.1867927667
141	0.1860349174
142	0.1851640654
143	0.1843011367
144	0.1827280658
145	0.1819173161
146	0.1813304066
147	0.1805873287
148	0.1793133287
149	0.1775122688
150	0.1765965451
151	0.1754669916
152	0.1747171062
153	0.1740717836
154	0.1732762638
155	0.1726941006
156	0.1715304058
157	0.1710462657
158	0.1697388336
159	0.1693428921
160	0.1687127877
161	0.1684077143
162	0.167986233
163	0.1672882112
164	0.1669603829
165	0.1666911052
166	0.16663917
