iter	Logloss_SumError	Logloss_SumWeight
0	121.0041531	179
1	118.0149602	179
2	114.7426751	179
3	111.9370812	179
4	109.7575316	179
5	107.4450568	179
6	105.4273707	179
7	103.3185331	179
8	101.302077	179
9	99.49061524	179
10	98.00290933	179
11	96.4475382	179
12	95.24738909	179
13	93.78076902	179
14	92.40657621	179
15	91.32364797	179
16	90.26480838	179
17	89.3236942	179
18	88.493674	179
19	87.61649262	179
20	86.93894996	179
21	85.92777095	179
22	85.37064394	179
23	84.57753474	179
24	83.95232174	179
25	83.52400272	179
26	83.06783897	179
27	82.61301886	179
28	82.13049564	179
29	81.79203428	179
30	81.52844786	179
31	81.17322804	179
32	80.79073563	179
33	80.6399395	179
34	80.44804298	179
35	80.12645834	179
36	79.89967548	179
37	79.36092154	179
38	79.14775131	179
39	78.89106084	179
40	78.63665067	179
41	78.47515692	179
42	78.40791949	179
43	78.48701498	179
44	78.33092408	179
45	77.75465957	179
46	77.68119181	179
47	77.25117546	179
48	77.07273898	179
49	76.80723536	179
50	76.50082507	179
51	76.09363816	179
52	75.92885641	179
53	75.71107832	179
54	75.53168542	179
55	75.39927093	179
56	75.26188958	179
57	74.98468892	179
58	74.76064268	179
59	74.73157008	179
60	74.57604833	179
61	74.36868443	179
62	74.22281187	179
63	74.21436699	179
64	74.16289366	179
65	74.02010878	179
66	74.11827889	179
67	73.96136411	179
68	73.98488667	179
69	73.87900015	179
70	73.78172829	179
71	73.52499657	179
72	73.26736165	179
73	73.15770468	179
74	73.03580063	179
75	72.85972625	179
76	72.75344107	179
77	72.67858627	179
78	72.47884473	179
79	72.44433322	179
80	72.39521493	179
81	72.44218085	179
82	72.43992162	179
83	72.42601955	179
84	72.26612825	179
85	72.20971421	179
86	71.91958155	179
87	72.00885714	179
88	71.89061587	179
89	71.83427192	179
90	71.9167912	179
91	71.83150379	179
92	71.83914019	179
93	71.73553922	179
94	71.72999801	179
95	71.71261587	179
96	71.74487808	179
97	71.83574191	179
98	71.83388211	179
99	71.78718991	179
100	71.76658792	179
101	71.81569833	179
102	71.80151312	179
103	71.81653396	179
104	71.72739636	179
105	71.72596732	179
106	71.67787556	179
107	71.69674182	179
108	71.71613216	179
109	71.66753284	179
110	71.59199673	179
111	71.57969539	179
112	71.61175502	179
113	71.6132362	179
114	71.64080324	179
115	71.60177583	179
116	71.47534909	179
117	71.4637446	179
118	71.42491434	179
119	71.45903763	179
120	71.2996166	179
121	71.22046429	179
122	71.20643849	179
123	71.22684864	179
124	71.26890496	179
125	71.21908032	179
126	71.34990963	179
127	71.29878496	179
128	71.31234182	179
129	71.26961414	179
130	71.25227174	179
131	71.10789846	179
132	71.11919285	179
133	71.11900468	179
134	71.15808167	179
135	70.94635061	179
136	71.00707786	179
137	70.99004397	179
138	70.99720662	179
139	71.03665744	179
140	71.02763288	179
141	71.05576065	179
142	71.02083785	179
143	71.04772427	179
144	71.13346963	179
145	71.08979259	179
146	71.12921649	179
147	71.12903405	179
148	71.12653968	179
149	71.07585218	179
150	71.07823014	179
151	71.04026968	179
152	71.01364547	179
153	70.99120683	179
154	70.92517113	179
155	70.8796633	179
156	70.79763347	179
157	70.78370096	179
158	70.81954402	179
159	70.81868405	179
160	70.79281682	179
161	70.83174637	179
162	70.81500135	179
163	70.82307732	179
164	70.85444586	179
165	70.74040372	179
166	70.77708132	179
167	70.70726603	179
